grupo_etario,prov,cuarta_dosis,primera_dosis,segunda_dosis,tercera_dosis,aplicadas_total,poblacion,aplicadas_pop,porc_ap_primdos,porc_ap_segdos,porc_ap_soloprimerados
menores,Santiago del Estero,711,250158,208361,800,460030,261179,176.1,95.8,79.8,16
menores,Catamarca,685,94886,75059,455,171085,102042,167.7,93,73.6,19.400000000000006
menores,Formosa,256,151175,117256,30685,299372,164873,181.6,91.7,71.1,20.60000000000001
menores,La Pampa,990,73880,66224,1759,142853,81873,174.5,90.2,80.9,9.299999999999997
menores,La Rioja,1028,85215,70035,554,156832,94456,166,90.2,74.1,16.10000000000001
menores,San Juan,1198,177812,135376,1225,315611,200106,157.7,88.9,67.7,21.200000000000003
menores,Santa Fe,7163,694474,589080,5834,1296551,786715,164.8,88.3,74.9,13.399999999999991
menores,Corrientes,1753,253262,190711,3765,449491,288872,155.6,87.7,66,21.700000000000003
menores,Tierra del Fuego,98,37750,30765,209,68822,43204,159.3,87.4,71.2,16.200000000000003
menores,Neuquen,1283,143390,113019,2255,259947,168260,154.5,85.2,67.2,18
menores,Rio Negro,1405,153911,121634,2670,279620,180598,154.8,85.2,67.4,17.799999999999997
menores,San Luis,2240,102026,88270,1112,193648,122200,158.5,83.5,72.2,11.299999999999997
menores,Cordoba,2576,713694,564179,6067,1286516,857980,149.9,83.2,65.8,17.400000000000006
menores,Buenos Aires,63070,3489553,2646914,10177,6209714,4233123,146.7,82.4,62.5,19.900000000000006
menores,TOTAL PAIS,102989,8882379,6803014,115440,15903822,10972208,144.9,81,62,19
menores,Entre Rios,728,267859,202663,884,472134,330944,142.7,80.9,61.2,19.700000000000003
menores,Tucuman,149,350639,255284,1159,607231,436218,139.2,80.4,58.5,21.900000000000006
menores,CABA,9806,477258,406863,29644,923571,599868,154,79.6,67.8,11.799999999999997
menores,Mendoza,1043,381084,275369,2130,659626,488825,134.9,78,56.3,21.700000000000003
menores,Santa Cruz,291,74252,56771,760,132074,99733,132.4,74.5,56.9,17.6
menores,Jujuy,698,148744,97344,1384,248170,199999,124.1,74.4,48.7,25.700000000000003
menores,Salta,1027,266516,172596,1436,441575,398147,110.9,66.9,43.3,23.60000000000001
menores,Chubut,327,101845,68194,711,171077,154919,110.4,65.7,44,21.700000000000003
menores,Chaco,1551,206110,136266,1905,345832,324743,106.5,63.5,42,21.5
menores,Misiones,2913,186886,114781,7860,312440,353331,88.4,52.9,32.5,20.4
12-17,Rio Negro,1387,71148,59864,2151,134550,70678,190.4,100.7,84.7,16
12-17,Santiago del Estero,706,102643,87411,722,191482,103830,184.4,98.9,84.2,14.700000000000003
12-17,Formosa,255,63152,52515,30595,146517,64203,228.2,98.4,81.8,16.60000000000001
12-17,La Rioja,1025,36300,31822,501,69648,36944,188.5,98.3,86.1,12.200000000000003
12-17,La Pampa,985,31365,28968,1737,63055,32396,194.6,96.8,89.4,7.3999999999999915
12-17,Catamarca,681,39705,31937,410,72733,41226,176.4,96.3,77.5,18.799999999999997
12-17,Corrientes,1739,104837,85405,3569,195550,108948,179.5,96.2,78.4,17.799999999999997
12-17,San Luis,2239,45871,41317,1104,90531,49021,184.7,93.6,84.3,9.299999999999997
12-17,Santa Fe,7058,283049,252330,5259,547696,303077,180.7,93.4,83.3,10.100000000000009
12-17,Cordoba,2444,305883,253589,4395,566311,328757,172.3,93,77.1,15.900000000000006
12-17,Neuquen,1282,59544,50033,2236,113095,64301,175.9,92.6,77.8,14.799999999999997
12-17,Tierra del Fuego,98,16291,14108,168,30665,17591,174.3,92.6,80.2,12.399999999999991
12-17,San Juan,1191,74131,58464,1027,134813,80411,167.7,92.2,72.7,19.5
12-17,Buenos Aires,62232,1491209,1234632,9329,2797402,1624163,172.2,91.8,76,15.799999999999997
12-17,Tucuman,147,148137,119226,1156,268666,167889,160,88.2,71,17.200000000000003
12-17,Entre Rios,725,114584,92934,762,209005,130201,160.5,88,71.4,16.599999999999994
12-17,Mendoza,1031,163717,133574,1590,299912,186336,161,87.9,71.7,16.200000000000003
12-17,CABA,9788,206362,188741,29587,434478,238523,182.2,86.5,79.1,7.400000000000006
12-17,Jujuy,692,65868,47923,1288,115771,79613,145.4,82.7,60.2,22.5
12-17,Santa Cruz,285,32047,26809,596,59737,38986,153.2,82.2,68.8,13.400000000000006
12-17,Chubut,323,47440,36072,623,84458,60402,139.8,78.5,59.7,18.799999999999997
12-17,Salta,1020,116779,83460,1358,202617,153493,132,76.1,54.4,21.699999999999996
12-17,Chaco,1527,86572,62893,1722,152714,123919,123.2,69.9,50.8,19.10000000000001
12-17,Misiones,2573,90092,63480,6249,162394,138015,117.7,65.3,46,19.299999999999997
<12,Santiago del Estero,5,147515,120950,78,268548,157349,170.7,93.8,76.9,16.89999999999999
<12,Catamarca,4,55181,43122,45,98352,60816,161.7,90.7,70.9,19.799999999999997
<12,Formosa,1,88023,64741,90,152855,100670,151.8,87.4,64.3,23.10000000000001
<12,San Juan,7,103681,76912,198,180798,119695,151,86.6,64.3,22.299999999999997
<12,La Pampa,5,42515,37256,22,79798,49477,161.3,85.9,75.3,10.600000000000009
<12,La Rioja,3,48915,38213,53,87184,57512,151.6,85.1,66.4,18.69999999999999
<12,Santa Fe,105,411425,336750,575,748855,483638,154.8,85.1,69.6,15.5
<12,Tierra del Fuego,0,21459,16657,41,38157,25613,149,83.8,65,18.799999999999997
<12,Corrientes,14,148425,105306,196,253941,179924,141.1,82.5,58.5,24
<12,Neuquen,1,83846,62986,19,146852,103959,141.3,80.7,60.6,20.1
<12,Cordoba,132,407811,310590,1672,720205,529223,136.1,77.1,58.7,18.39999999999999
<12,San Luis,1,56155,46953,8,103117,73179,140.9,76.7,64.2,12.5
<12,Buenos Aires,838,1998344,1412282,848,3412312,2608960,130.8,76.6,54.1,22.499999999999993
<12,Entre Rios,3,153275,109729,122,263129,200743,131.1,76.4,54.7,21.700000000000003
<12,TOTAL PAIS,1556,5085653,3665507,7306,8760022,6729285,130.2,75.6,54.5,21.099999999999994
<12,Tucuman,2,202502,136058,3,338565,268329,126.2,75.5,50.7,24.799999999999997
<12,Rio Negro,18,82763,61770,519,145070,109920,132,75.3,56.2,19.099999999999994
<12,CABA,18,270896,218122,57,489093,361345,135.4,75,60.4,14.600000000000001
<12,Mendoza,12,217367,141795,540,359714,302489,118.9,71.9,46.9,25.000000000000007
<12,Santa Cruz,6,42205,29962,164,72337,60747,119.1,69.5,49.3,20.200000000000003
<12,Jujuy,6,82876,49421,96,132399,120386,110,68.8,41.1,27.699999999999996
<12,Salta,7,149737,89136,78,238958,244654,97.7,61.2,36.4,24.800000000000004
<12,Chaco,24,119538,73373,183,193118,200824,96.2,59.5,36.5,23
<12,Chubut,4,54405,32122,88,86619,94517,91.6,57.6,34,23.6
<12,Misiones,340,96794,51301,1611,150046,215316,69.7,45,23.8,21.2
